logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano
rua setubal;777;apto 1202 edf boa viagem flat;240000,00;Boa Viagem;Recife;PE;2003;1152;69,23;0,00689;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-10-29;Bom;Apartamento;0,00;55093;-8.13781;-34.902764;2025
rua setubal;777;apto 0103 edf boa viagem flat;240000,00;Boa Viagem;Recife;PE;2003;1152;69,23;0,00689;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-02-05;Bom;Apartamento;0,00;55093;-8.13781;-34.902764;2025
rua setubal;777;apto 0802 edf boa viagem flat;400000,00;Boa Viagem;Recife;PE;2003;1152;69,23;0,00689;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-09;Bom;Apartamento;0,00;55093;-8.13781;-34.902764;2025
rua setubal;777;apto 0802 edf boa viagem flat;400000,00;Boa Viagem;Recife;PE;2003;1152;69,23;0,00689;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-07-23;Bom;Apartamento;0,00;55093;-8.13781;-34.902764;2025
rua setubal;777;apto 1104 edf boa viagem flat;290000,00;Boa Viagem;Recife;PE;2003;1152;69,23;0,00689;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-05-19;Bom;Apartamento;0,00;55093;-8.13781;-34.902764;2025
rua setubal;777;apto 1207 edf boa viagem flat;260000,00;Boa Viagem;Recife;PE;2003;1152;76,12;0,00757;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-01-09;Bom;Apartamento;0,00;55093;-8.13781;-34.902764;2025
rua setubal;777;apto 0501 edf boa viagem flat;260000,00;Boa Viagem;Recife;PE;2003;1152;71,69;0,00713;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-16;Bom;Apartamento;0,00;55093;-8.13781;-34.902764;2025
av boa viagem;5740;apto 1501 edf manoel de brito;2960000,00;Boa Viagem;Recife;PE;1984;2483,07;365,78;0,02283;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-04-25;Bom;Apartamento;0,00;11720;-8.139136;-34.903035;2025
av boa viagem;5802;apto 1001 edf rio araguaia;2100000,00;Boa Viagem;Recife;PE;1984;1099;587,57;0,0908;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-11-05;Bom;Apartamento;0,00;11720;-8.139503;-34.90315;2025
av boa viagem;5802;apto 0902 edf rio araguaia;950000,00;Boa Viagem;Recife;PE;1984;1099;273,05;0,0418;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-08-25;Bom;Apartamento;0,00;11720;-8.139503;-34.90315;2025
av boa viagem;5822;apto 0801 edf porto atlantico - bloco a;2061690,64;Boa Viagem;Recife;PE;2001;1410,17;269,73;0,02724;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2025-09-04;Bom;Apartamento;0,00;11720;-8.139654;-34.903205;2025
